name_wiki,genre_wiki,release_wiki,url_wiki
Masters of War,,"May 27, 1963",https://en.wikipedia.org/wiki/Masters_of_War
The Message (Grandmaster Flash and the Furious Five song),,"July 1, 1982",https://en.wikipedia.org/wiki/The_Message_(Grandmaster_Flash_and_the_Furious_Five_song)
Mexico (Jefferson Airplane song),,May 1970,https://en.wikipedia.org/wiki/Mexico_(Jefferson_Airplane_song)
Million Dollar Loan,,"October 10, 2016 (2016-10-10)",https://en.wikipedia.org/wiki/Million_Dollar_Loan
The Miracle (song),,27 November 1989,https://en.wikipedia.org/wiki/The_Miracle_(song)
Mississippi Goddam,,1964,https://en.wikipedia.org/wiki/Mississippi_Goddam
Money Made,,5 July 2009,https://en.wikipedia.org/wiki/Money_Made
Mosh (song),,"October 26, 2004",https://en.wikipedia.org/wiki/Mosh_(song)
Mother (Danzig song),,"August 30, 1988 (original)Fall 1993 (US reissue)April–May 1994 (US, UK, Europe and Australia reissue)",https://en.wikipedia.org/wiki/Mother_(Danzig_song)
Mother Russia (Renaissance song),,1974,https://en.wikipedia.org/wiki/Mother_Russia_(Renaissance_song)
Mothers of the Disappeared,,9 March 1987 (1987-03-09),https://en.wikipedia.org/wiki/Mothers_of_the_Disappeared
Motorcycle Emptiness,,1 June 1992,https://en.wikipedia.org/wiki/Motorcycle_Emptiness
M.T.A. (song),,,https://en.wikipedia.org/wiki/M.T.A._(song)
